restaurant_id,restaurant_name,restaurant_slug,city,item_id,item_name,item_description,item_price,item_currency,item_tags,item_has_options,item_vat_percentage
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,9bc35f8cb1bab92be202cf42,Supë Pule & Patate Furre & Fileto Pule,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,9ca26a09e31441fcc5ff531d,Fileto Pule me Patate Furre,,50000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,aec6b704ce9f7c58139824d0,Djathë Kaçkavall,,30000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,b3fff6faef752eb1ecac1833,Lakër,,25000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,b6decea60b42684959b23d00,Supe me Perime & Patate Furre & Fileto Pule,,50000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,b90040ae9218ee8149f6e4a3,Djathë i Skuqur,,35000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,b9dccac70159af3caa840397,Orange Soda,,17000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,bb9043a242cdd825c9e77d80,Bishtaja,,25000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,bc5d638786083f3c1435db44,Patate Furre & Fileto Pule & Sallate Mix,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,bc7dd637a7f977dd39dc45d7,Bizele me Mish,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,bd51c3e3074c8e32109ef4b4,Bravo,,18000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,bf9d170eefe9f0faef972e87,Bishtaja me Mish,,45000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,c0d95a50dd15a5982dcb5ff1,Perime të Ziera,,35000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,c33ec1d359ed3ba9474c5306,Tasqebap,,40000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,c7d0aeeaa36c7e849542c1eb,Sallatë Jeshile,,20000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,c9b9aa67d8ecbef49faa08f1,Bamje me Mish,,50000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,cab7ed898fa788eb0c7161a2,B52,,23000,ALL,,False,20
67ea68c972e814268bc1b8db,Gatime Tradicionale Liriada,gatime-tradicionale-liriada,Durrës,cc0b98dd0e3d9f754f4d967b,Fasule,,20000,ALL,,False,20
